39,,,,,
APとは,応用情報技術者試験,基本情報技術者試験,危険物取扱者試験,ITパスポート試験,1
FEとは,応用情報技術者試験,基本情報技術者試験,危険物取扱者試験,ITパスポート試験,2
USB3.0の特徴はどれか？,半二重通信である,全二重通信である,最大供給電流は500mA,USB2.0のケーブルは刺せない,2
USB4.0の特徴はどれか？,20Gbps,40Gbps,80Gbps,160Gbps,2
XMLに関する説明はどれか？,いくつかのフィールドを区切り文字であるカンマで区切ったテキストデータファイル,ウェブページのスタイルを指定するための言語,Webサービスを外部のソフトウェアから接続・利用するための仕様（インターフェース）を記述することができる言語 ,文章の見た目や構造を記述するためのマークアップ言語の１種,4
Webページの見出しや要約などのデータについて，XMLを使って更新を通知するためのフォーマットはどれか。 ,BPEL,RSS,SOAP,WSDL,2
SOAPに関する説明はどれか？,ソフトウェア同士がメッセージを交換する遠隔手続き呼び出し(RPC)のためのプロトコルで、Webサービスを実現するための有効な手段の一つ,Webサービスを利用するためのインタフェースやプロトコルを規定したもの,複数のWebサービスを呼出し、実行する手順を結び合わせて一連の複雑なビジネスプロセスとして記述するための言語 ,デジタル機器用の近距離無線通信規格の1つで数mから数十m程度の距離の情報機器間で、電波を使い簡易な情報のやりとりを行うのに使用される。,1
データの追加・変更・削除が，少ないながらも一定の頻度で行われるデータベースがある。このデータベースのフルバックアップを磁気テープに取得する時間間隔を今までの2倍にした。このとき，データベースのバックアップ又は復旧に関する記述のうち，適切なものはどれか。 ,フルバックアップ1回当たりの磁気テープ使用量が約2倍になる。 ,フルバックアップ1回当たりの磁気テープ使用量が約半分になる。 ,フルバックアップ取得の平均実行時間が約2倍になる。 ,ログ情報によって復旧するときの処理時間が平均して約2倍になる。 ,4
現時点までに完了した作業に割り当てられていた予算のことを表す言葉はどれか？,BAC,PV,EV,AC,3
現時点までに完了した作業に対して実際に投入した総コストを表す言葉はどれか？,BAC,PV,EV,AC,4
データベースにおける三層スキーマはどれか？,外部、概念、内部,外部、物理、内部,概念、オブジェクト、内部,構造、概念、データ,1
